areastring,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,regionstring
South-Apulia,1,3,16.21,2.8,1.97,66.08,11.79,0.28,0.58,0.27,South
South-Apulia,1,3,17.53,2.75,2.36,63.67,12.14,0.23,0.61,0.27,South
South-Apulia,1,3,16.79,2.6,1.77,65.68,11.91,0.3,0.59,0.33,South
South-Apulia,1,3,14.19,2.03,1.76,69.73,10.83,0.38,0.78,0.27,South
South-Apulia,1,3,16.93,2.36,1.74,64.99,12.04,0.51,1.02,0.37,South
South-Apulia,1,3,16.92,2.7,2.34,64.99,11.96,0.31,0.59,0.15,South
South-Apulia,1,3,16.38,2.52,2.15,65.7,11.99,0.39,0.53,0.29,South
South-Apulia,1,3,14.97,2.47,2.19,66.21,12.7,0.36,0.73,0.32,South
South-Apulia,1,3,14.42,2.22,1.94,66.77,13.14,0.36,0.72,0.38,South
South-Apulia,1,3,16.8,2.7,1.7,64.4,13.1,0.31,0.62,0.28,South
South-Apulia,1,3,14.63,1.64,1.85,69.09,11.54,0.49,0.58,0.17,South
Inland-Sardinia,2,5,11.29,1.2,2.22,72.72,11.12,0.43,0.98,0.02,Sardinia
Inland-Sardinia,2,5,10.42,1.35,2.1,73.76,11.16,0.35,0.9,0.03,Sardinia
Inland-Sardinia,2,5,11.03,0.96,2.1,73.8,10.85,0.32,0.94,0.03,Sardinia
Inland-Sardinia,2,5,11.18,0.97,2.21,72.79,11.54,0.35,0.94,0.02,Sardinia
Inland-Sardinia,2,5,10.52,0.95,2.15,73.88,11.26,0.31,0.92,0.01,Sardinia
Inland-Sardinia,2,5,11.16,1.02,2.31,72.9,11.68,0.26,0.66,0.01,Sardinia
Inland-Sardinia,2,5,11.08,1.32,2.31,73.19,11.01,0.2,0.66,0.02,Sardinia
Inland-Sardinia,2,5,11.29,1.08,2.12,73.86,10.74,0.28,0.62,0.03,Sardinia
Inland-Sardinia,2,5,10.85,0.91,2.23,73.84,11.26,0.28,0.62,0.03,Sardinia
Inland-Sardinia,2,5,11.04,1.03,2.33,73.22,11.47,0.27,0.61,0.02,Sardinia
Inland-Sardinia,2,5,10.98,0.88,2.12,73.38,11.4,0.28,0.67,0.01,Sardinia
Coast-Sardinia,2,6,11.35,0.98,2.51,71.2,13.14,0.2,0.61,0.02,Sardinia
Coast-Sardinia,2,6,11.58,1.08,2.45,70.65,13.26,0.22,0.75,0.01,Sardinia
Coast-Sardinia,2,6,11.33,1.1,2.41,70.8,13.42,0.21,0.68,0.03,Sardinia
Coast-Sardinia,2,6,10.95,1.25,2.5,71.2,13.05,0.21,0.83,0.01,Sardinia
Coast-Sardinia,2,6,12.01,0.87,2.38,69.9,13.83,0.25,0.75,0.03,Sardinia
Coast-Sardinia,2,6,12.13,1.12,2.45,70.07,13.35,0.22,0.65,0.03,Sardinia
Inland-Sardinia,2,5,11.08,0.92,2.31,73.67,11.1,0.29,0.62,0.03,Sardinia
Inland-Sardinia,2,5,10.75,1.03,2.07,74.13,10.96,0.32,0.68,0.02,Sardinia
Inland-Sardinia,2,5,10.59,0.96,2.28,73.86,11.28,0.25,0.72,0.02,Sardinia
Inland-Sardinia,2,5,11.76,0.92,2.07,73.47,10.57,0.35,0.82,0.01,Sardinia
Inland-Sardinia,2,5,11.59,0.98,2.13,73.2,11.08,0.38,0.64,0.01,Sardinia
Inland-Sardinia,2,5,11.32,0.8,2.01,73.98,10.95,0.27,0.67,0.02,Sardinia
Inland-Sardinia,2,5,11.07,0.75,2.2,73.99,10.96,0.29,0.9,0.01,Sardinia
Inland-Sardinia,2,5,10.92,1.04,2.34,73.55,11.26,0.28,0.58,0.02,Sardinia
Inland-Sardinia,2,5,11.19,0.81,2.19,74.09,10.57,0.33,0.81,0.02,Sardinia
Inland-Sardinia,2,5,11.06,0.93,2.12,73.81,11.04,0.35,0.68,0.01,Sardinia
Inland-Sardinia,2,5,10.47,1.01,2.38,73.85,11.2,0.28,0.89,0.01,Sardinia
Inland-Sardinia,2,5,11.65,0.99,2.14,73.31,11.01,0.22,0.67,0.03,Sardinia
Inland-Sardinia,2,5,11.58,0.84,2.01,73.27,11.23,0.29,0.77,0.02,Sardinia
Inland-Sardinia,2,5,10.95,0.88,2.03,74.15,10.93,0.37,0.78,0.01,Sardinia
Inland-Sardinia,2,5,11.76,0.75,2.05,73.96,11.07,0.33,0.74,0.02,Sardinia
Inland-Sardinia,2,5,11.03,1.09,2.2,73.35,11.4,0.28,0.59,0.02,Sardinia
Inland-Sardinia,2,5,11.12,0.92,2.09,73.56,11.25,0.32,0.73,0.02,Sardinia
Inland-Sardinia,2,5,10.91,0.93,2.22,73.77,11.13,0.2,0.53,0.02,Sardinia
Inland-Sardinia,2,5,10.8,0.98,2.19,73.71,11.25,0.33,0.78,0.01,Sardinia
Inland-Sardinia,2,5,10.51,1.08,2.27,74.03,11.14,0.3,0.66,0.03,Sardinia
Inland-Sardinia,2,5,10.96,0.84,2.11,74.15,10.91,0.3,0.71,0.02,Sardinia
Inland-Sardinia,2,5,11.42,0.97,2.25,73.41,11.01,0.28,0.65,0.01,Sardinia
Inland-Sardinia,2,5,10.47,0.96,2.36,73.99,11.07,0.32,0.8,0.03,Sardinia
Inland-Sardinia,2,5,11.14,0.86,2.1,73.59,11.16,0.31,0.83,0.02,Sardinia
Inland-Sardinia,2,5,11.4,0.93,2.41,73.24,10.98,0.23,0.74,0.01,Sardinia
Inland-Sardinia,2,5,10.75,0.91,2.0,74.1,11.07,0.36,0.8,0.01,Sardinia
Inland-Sardinia,2,5,10.92,1.06,2.19,74.27,11.25,0.33,0.77,0.01,Sardinia
Inland-Sardinia,2,5,10.76,0.95,2.04,74.08,11.3,0.27,0.79,0.02,Sardinia
Inland-Sardinia,2,5,11.78,0.89,2.01,73.81,10.99,0.34,0.87,0.02,Sardinia
Inland-Sardinia,2,5,10.95,1.04,2.23,73.67,11.11,0.43,0.56,0.02,Sardinia
Coast-Sardinia,2,6,11.66,0.97,2.72,69.71,13.9,0.2,0.83,0.03,Sardinia
Coast-Sardinia,2,6,11.54,1.19,2.57,71.3,12.53,0.22,0.61,0.01,Sardinia
Coast-Sardinia,2,6,11.77,1.11,2.41,68.82,14.7,0.22,0.95,0.02,Sardinia
Coast-Sardinia,2,6,11.6,0.96,2.4,70.43,13.57,0.24,0.79,0.02,Sardinia
Coast-Sardinia,2,6,11.22,1.04,2.41,71.45,13.13,0.15,0.58,0.01,Sardinia
Coast-Sardinia,2,6,11.32,0.99,2.57,70.65,13.62,0.24,0.9,0.03,Sardinia
Coast-Sardinia,2,6,10.96,1.0,2.6,71.62,12.82,0.25,0.74,0.02,Sardinia
Coast-Sardinia,2,6,11.31,0.87,2.33,71.44,13.07,0.25,0.72,0.03,Sardinia
Coast-Sardinia,2,6,11.84,1.05,2.58,70.2,13.4,0.26,0.66,0.02,Sardinia
Coast-Sardinia,2,6,11.35,0.94,2.35,71.23,13.2,0.24,0.67,0.02,Sardinia
Coast-Sardinia,2,6,10.84,0.96,2.4,71.64,13.3,0.28,0.57,0.01,Sardinia
Coast-Sardinia,2,6,10.86,1.27,2.52,71.59,12.85,0.28,0.62,0.02,Sardinia
Coast-Sardinia,2,6,11.4,0.95,2.58,70.85,13.47,0.23,0.71,0.03,Sardinia
Coast-Sardinia,2,6,11.38,1.01,2.54,71.03,13.1,0.25,0.68,0.01,Sardinia
Coast-Sardinia,2,6,11.59,1.1,2.61,70.68,12.97,0.27,0.77,0.02,Sardinia
Inland-Sardinia,2,5,10.51,0.78,2.11,74.21,11.46,0.3,0.82,0.02,Sardinia
Inland-Sardinia,2,5,10.48,0.79,2.13,74.39,11.3,0.28,0.61,0.02,Sardinia
Inland-Sardinia,2,5,10.61,0.86,2.2,74.21,11.02,0.29,0.79,0.03,Sardinia
Inland-Sardinia,2,5,11.05,0.88,2.1,73.53,11.42,0.28,0.72,0.01,Sardinia
Inland-Sardinia,2,5,11.45,0.35,2.37,72.08,11.18,0.2,0.46,0.02,Sardinia
Inland-Sardinia,2,5,10.49,0.96,2.19,73.03,11.68,0.22,0.47,0.02,Sardinia
Inland-Sardinia,2,5,11.05,1.2,2.18,73.02,11.58,0.23,0.45,0.03,Sardinia
Inland-Sardinia,2,5,10.3,0.84,2.14,74.03,11.77,0.21,0.7,0.01,Sardinia
Inland-Sardinia,2,5,10.7,0.98,2.15,72.8,12.4,0.28,0.68,0.03,Sardinia
Inland-Sardinia,2,5,11.03,0.81,2.08,73.1,11.77,0.3,0.9,0.03,Sardinia
Inland-Sardinia,2,5,10.4,1.01,2.05,73.68,11.76,0.25,0.85,0.03,Sardinia
Inland-Sardinia,2,5,11.0,0.95,2.1,73.2,11.13,0.22,0.72,0.03,Sardinia
Inland-Sardinia,2,5,11.18,0.85,1.99,74.15,10.6,0.36,0.86,0.03,Sardinia
Inland-Sardinia,2,5,10.65,0.98,2.3,73.45,11.63,0.24,0.74,0.01,Sardinia
Inland-Sardinia,2,5,11.31,0.78,2.21,73.58,11.2,0.22,0.69,0.02,Sardinia
Inland-Sardinia,2,5,10.8,1.2,2.18,72.96,11.45,0.35,1.05,0.02,Sardinia
Inland-Sardinia,2,5,10.75,0.86,2.31,74.03,11.09,0.22,0.73,0.03,Sardinia
Inland-Sardinia,2,5,10.4,1.03,2.28,73.64,11.73,0.25,0.66,0.02,Sardinia
Inland-Sardinia,2,5,11.28,0.82,2.03,73.2,11.48,0.3,0.88,0.01,Sardinia
Inland-Sardinia,2,5,10.6,1.11,2.31,73.63,11.49,0.2,0.65,0.01,Sardinia
Inland-Sardinia,2,5,11.03,0.78,2.2,73.65,11.49,0.2,0.65,0.02,Sardinia
Inland-Sardinia,2,5,11.1,0.91,2.01,73.18,11.85,0.24,0.74,0.02,Sardinia
Inland-Sardinia,2,5,10.91,1.08,2.18,73.83,11.83,0.28,0.88,0.03,Sardinia
Inland-Sardinia,2,5,10.94,0.96,2.2,73.41,11.27,0.26,0.96,0.02,Sardinia
Coast-Sardinia,2,6,11.31,0.87,2.08,71.7,13.08,0.28,0.57,0.02,Sardinia
Coast-Sardinia,2,6,11.75,1.08,2.14,70.76,13.07,0.33,0.85,0.02,Sardinia
Coast-Sardinia,2,6,10.76,0.77,2.02,72.43,13.05,0.29,0.67,0.01,Sardinia
Coast-Sardinia,2,6,11.2,0.9,2.4,70.68,13.83,0.23,0.75,0.01,Sardinia
Coast-Sardinia,2,6,11.52,1.11,2.38,70.8,13.72,0.25,0.81,0.02,Sardinia
Coast-Sardinia,2,6,11.41,0.95,2.5,70.35,13.88,0.22,0.68,0.02,Sardinia
Coast-Sardinia,2,6,10.98,1.03,2.67,71.35,13.01,0.24,0.76,0.02,Sardinia
Coast-Sardinia,2,6,11.26,1.0,2.36,70.62,13.8,0.26,0.69,0.01,Sardinia
Coast-Sardinia,2,6,10.87,0.89,2.43,72.0,13.02,0.18,0.6,0.01,Sardinia
Coast-Sardinia,2,6,11.15,0.96,2.36,70.85,13.72,0.2,0.75,0.02,Sardinia
Coast-Sardinia,2,6,11.78,0.92,2.41,70.06,13.76,0.22,0.84,0.01,Sardinia
Coast-Sardinia,2,6,11.62,1.06,2.42,70.25,13.68,0.25,0.71,0.02,Sardinia
Umbria,3,9,10.85,0.7,1.8,79.55,6.05,0.2,0.5,0.01,North
Umbria,3,9,10.85,0.7,1.85,79.55,6.0,0.25,0.55,0.01,North
Umbria,3,9,10.9,0.6,1.9,79.5,6.0,0.28,0.47,0.02,North
Umbria,3,9,10.8,0.65,1.89,79.6,6.02,0.35,0.2,0.01,North
Umbria,3,9,10.9,0.6,1.95,79.55,6.0,0.28,0.42,0.02,North
Umbria,3,9,11.05,0.55,2.0,79.0,6.0,0.37,0.55,0.02,North
Umbria,3,9,10.6,0.75,1.75,79.75,6.1,0.2,0.55,0.02,North
Umbria,3,9,10.5,0.7,1.7,79.77,6.05,0.28,0.65,0.01,North
Umbria,3,9,11.0,0.55,1.98,79.05,6.0,0.35,0.5,0.03,North
Umbria,3,9,10.65,0.65,1.78,79.65,6.05,0.22,0.65,0.02,North
Umbria,3,9,10.85,0.6,1.88,79.55,6.02,0.3,0.5,0.02,North
Umbria,3,9,10.8,0.65,1.8,79.6,6.05,0.25,0.55,0.01,North
Umbria,3,9,10.85,0.6,1.9,79.55,6.02,0.3,0.53,0.01,North
Umbria,3,9,10.75,0.68,1.95,79.6,6.02,0.2,0.4,0.03,North
Umbria,3,9,10.9,0.58,1.92,79.5,6.0,0.35,0.4,0.03,North
Umbria,3,9,10.95,0.6,1.98,79.45,6.0,0.38,0.34,0.02,North
Umbria,3,9,10.9,0.58,1.95,79.5,6.0,0.3,0.42,0.02,North
Umbria,3,9,10.95,0.58,1.98,79.5,6.02,0.35,0.32,0.01,North
Umbria,3,9,10.9,0.58,1.95,79.4,6.0,0.35,0.42,0.02,North
Umbria,3,9,10.95,0.58,1.98,79.45,6.0,0.35,0.34,0.01,North
Umbria,3,9,10.95,0.55,2.0,79.4,6.0,0.35,0.45,0.03,North
Umbria,3,9,10.8,0.7,1.88,79.65,6.08,0.28,0.36,0.03,North
Umbria,3,9,10.9,0.6,1.95,79.5,6.0,0.32,0.38,0.02,North
Umbria,3,9,11.05,0.55,2.0,79.0,5.95,0.39,0.56,0.01,North
Umbria,3,9,11.1,0.5,2.05,79.0,5.95,0.4,0.52,0.01,North
Umbria,3,9,10.75,0.7,1.98,79.78,6.08,0.28,0.33,0.02,North
Umbria,3,9,10.75,0.65,1.85,79.8,6.08,0.35,0.42,0.03,North
Umbria,3,9,10.65,0.75,1.8,79.75,6.1,0.25,0.5,0.03,North
Umbria,3,9,10.7,0.75,1.88,79.8,6.02,0.22,0.45,0.02,North
Umbria,3,9,10.7,0.75,1.88,79.8,6.02,0.22,0.45,0.01,North
Umbria,3,9,11.0,0.7,2.0,79.1,6.1,0.39,0.44,0.01,North
Umbria,3,9,10.75,0.7,1.85,79.6,6.1,0.22,0.58,0.02,North
Umbria,3,9,10.5,0.78,1.75,79.9,6.1,0.18,0.59,0.03,North
Umbria,3,9,10.9,0.6,1.98,79.45,6.0,0.32,0.35,0.02,North
Umbria,3,9,10.5,0.78,1.88,79.9,6.08,0.28,0.23,0.03,North
Umbria,3,9,10.75,0.7,1.9,79.75,6.05,0.28,0.27,0.03,North
Umbria,3,9,10.98,0.54,2.02,79.45,5.95,0.42,0.32,0.02,North
Umbria,3,9,11.05,0.15,1.98,80.05,5.75,0.52,0.2,0.02,North
Umbria,3,9,11.1,0.75,2.2,79.15,5.1,0.55,0.65,0.02,North
Umbria,3,9,10.58,0.5,1.78,79.88,6.26,0.4,0.55,0.03,North
Umbria,3,9,11.15,0.3,2.25,79.55,6.0,0.55,0.15,0.02,North
Umbria,3,9,11.05,0.3,1.98,79.95,5.7,0.52,0.2,0.03,North
Umbria,3,9,10.72,0.49,1.78,79.8,6.15,0.48,0.48,0.02,North
Umbria,3,9,11.1,0.15,2.1,79.9,5.7,0.5,0.2,0.02,North
Umbria,3,9,11.1,0.8,2.15,79.1,5.25,0.5,0.6,0.01,North
Umbria,3,9,10.55,0.6,1.75,79.85,6.2,0.45,0.5,0.01,North
Umbria,3,9,11.0,0.8,2.15,79.3,5.35,0.45,0.6,0.02,North
Umbria,3,9,11.05,0.55,2.05,79.65,6.0,0.25,0.2,0.02,North
Umbria,3,9,10.95,0.5,2.1,79.48,6.0,0.25,0.35,0.02,North
Umbria,3,9,11.1,0.5,2.2,79.5,6.0,0.52,0.1,0.02,North
Umbria,3,9,10.92,0.37,2.1,79.55,6.0,0.4,0.4,0.03,North
East-Liguria,3,7,12.9,0.6,2.6,75.5,6.7,0.7,1.0,0.02,North
East-Liguria,3,7,11.7,0.8,2.3,76.9,7.2,0.4,0.7,0.01,North
East-Liguria,3,7,11.0,0.9,2.5,76.8,7.6,0.3,0.8,0.02,North
East-Liguria,3,7,11.2,0.7,2.4,77.2,7.3,0.4,0.8,0.02,North
East-Liguria,3,7,11.6,0.7,2.5,76.5,7.5,0.3,0.9,0.01,North
East-Liguria,3,7,12.0,0.5,2.1,77.7,6.9,0.2,0.5,0.03,North
East-Liguria,3,7,11.4,0.5,2.0,79.9,5.8,0.1,0.2,0.01,North
East-Liguria,3,7,12.2,0.8,2.4,76.1,7.6,0.3,0.6,0.02,North
East-Liguria,3,7,11.8,0.9,2.5,75.2,8.0,0.5,1.0,0.02,North
East-Liguria,3,7,12.1,0.7,2.5,75.6,7.8,0.4,0.9,0.02,North
East-Liguria,3,7,12.2,0.8,2.2,75.4,7.7,0.6,1.0,0.02,North
East-Liguria,3,7,11.8,1.0,1.9,75.2,8.2,0.5,1.0,0.01,North
East-Liguria,3,7,11.6,0.9,2.2,75.8,7.9,0.4,0.9,0.01,North
East-Liguria,3,7,11.3,1.0,2.4,76.2,7.8,0.3,0.9,0.01,North
East-Liguria,3,7,10.8,1.0,2.6,77.1,7.5,0.2,0.7,0.02,North
East-Liguria,3,7,10.9,0.9,2.8,77.3,7.2,0.5,1.0,0.01,North
East-Liguria,3,7,10.2,1.0,2.7,77.7,7.1,0.4,0.9,0.01,North
East-Liguria,3,7,10.9,0.9,2.5,76.8,7.6,0.6,0.8,0.01,North
East-Liguria,3,7,11.2,1.0,2.6,77.2,6.8,0.3,0.8,0.02,North
East-Liguria,3,7,10.8,0.8,2.4,78.3,6.7,0.3,0.7,0.02,North
East-Liguria,3,7,11.6,0.7,2.3,78.6,6.4,0.1,0.2,0.01,North
East-Liguria,3,7,11.0,0.8,2.4,78.2,6.7,0.2,0.7,0.02,North
East-Liguria,3,7,10.5,1.0,2.5,79.3,6.3,0.1,0.3,0.03,North
East-Liguria,3,7,10.9,0.9,2.7,77.8,6.9,0.3,0.5,0.03,North
East-Liguria,3,7,11.2,0.8,2.6,77.5,6.8,0.3,0.8,0.03,North
East-Liguria,3,7,11.2,1.0,2.5,76.8,7.3,0.4,0.7,0.02,North
East-Liguria,3,7,11.9,0.9,2.3,76.7,7.1,0.3,0.8,0.02,North
East-Liguria,3,7,11.7,1.1,2.5,76.2,7.4,0.2,0.9,0.01,North
East-Liguria,3,7,11.2,1.0,2.3,77.2,7.3,0.2,0.7,0.01,North
East-Liguria,3,7,11.9,0.8,2.7,76.9,7.2,0.1,0.4,0.02,North
East-Liguria,3,7,14.0,0.9,2.7,74.2,8.0,0.0,0.2,0.02,North
East-Liguria,3,7,13.5,0.8,2.5,75.2,7.6,0.1,0.3,0.01,North
East-Liguria,3,7,10.9,0.6,2.2,78.9,6.7,0.1,0.6,0.02,North
East-Liguria,3,7,11.5,0.9,2.3,77.9,6.5,0.3,0.6,0.01,North
East-Liguria,3,7,12.4,0.9,2.2,78.2,5.9,0.1,0.3,0.01,North
East-Liguria,3,7,12.2,1.0,2.4,78.9,5.3,0.0,0.1,0.02,North
East-Liguria,3,7,11.8,0.8,2.5,78.7,5.8,0.1,0.3,0.02,North
East-Liguria,3,7,11.7,1.1,2.4,77.3,6.3,0.3,0.9,0.01,North
East-Liguria,3,7,11.7,1.0,2.8,77.1,6.4,0.2,0.7,0.03,North
East-Liguria,3,7,11.8,0.8,2.2,77.9,6.8,0.1,0.4,0.01,North
East-Liguria,3,7,12.0,0.9,2.4,78.2,5.9,0.1,0.5,0.02,North
East-Liguria,3,7,11.4,0.9,2.4,78.8,5.7,0.2,0.6,0.03,North
East-Liguria,3,7,11.6,0.7,2.1,78.7,5.8,0.3,0.8,0.03,North
East-Liguria,3,7,11.3,0.8,2.5,77.8,6.5,0.4,0.6,0.03,North
East-Liguria,3,7,11.5,0.8,2.4,78.0,6.3,0.3,0.7,0.02,North
East-Liguria,3,7,11.1,0.7,2.4,78.2,6.7,0.2,0.7,0.03,North
East-Liguria,3,7,11.5,0.7,2.2,78.5,6.2,0.2,0.4,0.02,North
East-Liguria,3,7,11.8,0.8,2.4,77.6,6.7,0.2,0.5,0.02,North
East-Liguria,3,7,10.2,0.8,2.5,79.2,6.8,0.1,0.3,0.03,North
East-Liguria,3,7,6.1,0.8,2.3,84.1,6.5,0.0,0.2,0.03,North
West-Liguria,3,8,11.9,1.5,2.9,73.4,10.2,0.0,0.1,0.02,North
West-Liguria,3,8,11.1,1.3,2.1,75.5,10.0,0.0,0.0,0.01,North
West-Liguria,3,8,10.2,1.0,2.2,75.3,10.3,0.0,0.0,0.03,North
West-Liguria,3,8,10.7,1.2,2.1,76.0,9.9,0.0,0.1,0.03,North
West-Liguria,3,8,10.1,0.9,3.5,74.8,10.5,0.1,0.1,0.01,North
West-Liguria,3,8,10.6,1.4,2.4,76.8,8.3,0.1,0.4,0.02,North
West-Liguria,3,8,10.6,1.4,2.7,76.2,8.8,0.1,0.2,0.01,North
West-Liguria,3,8,10.3,1.0,2.3,77.4,9.0,0.0,0.0,0.02,North
West-Liguria,3,8,11.2,1.3,2.5,75.3,9.7,0.0,0.0,0.03,North
West-Liguria,3,8,10.3,1.1,2.2,77.6,9.8,0.0,0.0,0.02,North
West-Liguria,3,8,10.7,1.0,2.3,76.0,9.9,0.1,0.0,0.01,North
West-Liguria,3,8,11.4,1.8,2.2,76.1,8.5,0.1,0.1,0.02,North
West-Liguria,3,8,10.9,1.8,2.3,75.9,8.6,0.1,0.4,0.02,North
West-Liguria,3,8,9.8,1.1,3.0,77.2,9.1,0.1,0.0,0.03,North
West-Liguria,3,8,9.8,0.9,3.3,75.4,10.4,0.0,0.0,0.02,North
West-Liguria,3,8,9.6,0.9,2.0,78.1,9.4,0.0,0.0,0.02,North
West-Liguria,3,8,9.9,0.9,2.1,77.8,9.3,0.0,0.0,0.02,North
West-Liguria,3,8,10.6,1.2,2.1,76.0,10.1,0.0,0.0,0.01,North
West-Liguria,3,8,12.4,1.5,2.5,76.1,7.3,0.1,0.1,0.01,North
West-Liguria,3,8,10.6,0.9,3.1,78.5,6.9,0.0,0.0,0.02,North
West-Liguria,3,8,10.2,1.0,2.9,76.2,9.6,0.0,0.1,0.02,North
West-Liguria,3,8,9.7,0.9,2.2,77.0,10.2,0.0,0.0,0.03,North
West-Liguria,3,8,11.8,1.3,2.2,74.5,10.1,0.0,0.1,0.02,North
West-Liguria,3,8,10.6,1.4,2.4,76.9,8.5,0.1,0.1,0.01,North
West-Liguria,3,8,9.9,1.0,2.5,76.3,10.3,0.0,0.0,0.03,North
West-Liguria,3,8,10.1,0.9,3.5,76.3,9.4,0.1,0.0,0.03,North
West-Liguria,3,8,10.4,0.9,2.5,77.8,8.2,0.1,0.1,0.01,North
West-Liguria,3,8,10.4,0.9,2.5,78.1,8.1,0.1,0.1,0.02,North
West-Liguria,3,8,10.2,0.9,3.5,76.2,9.2,0.1,0.0,0.03,North
West-Liguria,3,8,10.2,0.9,2.6,76.2,10.1,0.0,0.0,0.03,North
West-Liguria,3,8,10.1,0.9,3.5,76.1,9.3,0.1,0.0,0.03,North
West-Liguria,3,8,9.2,1.1,3.4,77.2,9.1,0.0,0.0,0.03,North
West-Liguria,3,8,10.3,1.0,2.5,77.1,9.0,0.0,0.1,0.02,North
West-Liguria,3,8,9.6,0.9,3.0,78.2,8.3,0.0,0.0,0.03,North
West-Liguria,3,8,10.3,1.1,2.1,78.1,8.4,0.0,0.0,0.01,North
West-Liguria,3,8,10.1,1.0,2.4,77.1,9.1,0.1,0.2,0.02,North
West-Liguria,3,8,10.2,0.9,2.4,78.0,8.5,0.0,0.0,0.02,North
West-Liguria,3,8,11.2,0.9,3.0,76.5,8.3,0.0,0.1,0.01,North
West-Liguria,3,8,10.9,0.9,2.9,77.1,8.0,0.1,0.0,0.02,North
West-Liguria,3,8,11.0,1.2,2.8,76.3,7.7,0.1,0.1,0.02,North
West-Liguria,3,8,10.9,0.8,2.4,78.2,7.6,0.1,0.0,0.02,North
West-Liguria,3,8,11.5,0.9,2.5,77.2,8.1,0.0,0.1,0.03,North
West-Liguria,3,8,11.1,0.9,2.3,78.1,7.5,0.0,0.1,0.02,North
West-Liguria,3,8,10.1,1.1,2.1,77.2,9.5,0.0,0.0,0.01,North
West-Liguria,3,8,10.7,1.0,2.2,77.3,8.7,0.1,0.1,0.02,North
West-Liguria,3,8,12.8,1.1,2.9,74.9,7.9,0.1,0.1,0.02,North
West-Liguria,3,8,10.6,1.0,2.7,77.4,8.1,0.1,0.1,0.03,North
West-Liguria,3,8,10.1,0.9,2.1,77.2,9.7,0.0,0.0,0.02,North
West-Liguria,3,8,9.9,1.2,2.5,77.5,8.7,0.1,0.1,0.02,North
West-Liguria,3,8,9.6,0.8,2.4,79.5,7.4,0.1,0.2,0.02,North
