motivation,num_recipients,recipients,title,year
“for their important break-through in the discovery of superconductivity in ceramic materials”,2,"['J. Georg Bednorz', 'K. Alexander Müller']",The Nobel Prize in Physics,1987
“for their development and use of molecules with structure-specific interactions of high selectivity”,3,"['Donald J. Cram', 'Jean-Marie Lehn', 'Charles J. Pedersen']",The Nobel Prize in Chemistry,1987
“for his discovery of the genetic principle for generation of antibody diversity”,1,['Susumu Tonegawa'],The Nobel Prize in Physiology or Medicine,1987
"“for an all-embracing authorship, imbued with clarity of thought and poetic intensity”",1,['Joseph Brodsky'],The Nobel Prize in Literature,1987
"“for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year”",1,['Oscar Arias Sánchez'],The Nobel Peace Prize,1987
“for his contributions to the theory of economic growth”,1,['Robert M. Solow'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1987
"“for his fundamental work in electron optics, and for the design of the first electron microscope”",3,"['Ernst Ruska', 'Gerd Binnig', 'Heinrich Rohrer']",The Nobel Prize in Physics,1986
“for their contributions concerning the dynamics of chemical elementary processes”,3,"['Dudley R. Herschbach', 'Yuan T. Lee', 'John C. Polanyi']",The Nobel Prize in Chemistry,1986
“for their discoveries of growth factors”,2,"['Stanley Cohen', 'Rita Levi-Montalcini']",The Nobel Prize in Physiology or Medicine,1986
“who in a wide cultural perspective and with poetic overtones fashions the drama of existence”,1,['Wole Soyinka'],The Nobel Prize in Literature,1986
,1,['Elie Wiesel'],The Nobel Peace Prize,1986
“for his development of the contractual and constitutional bases for the theory of economic and political decision-making”,1,['James M. Buchanan Jr.'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1986
“for the discovery of the quantized Hall effect”,1,['Klaus von Klitzing'],The Nobel Prize in Physics,1985
“for their outstanding achievements in the development of direct methods for the determination of crystal structures”,2,"['Herbert A. Hauptman', 'Jerome Karle']",The Nobel Prize in Chemistry,1985
“for their discoveries concerning the regulation of cholesterol metabolism”,2,"['Michael S. Brown', 'Joseph L. Goldstein']",The Nobel Prize in Physiology or Medicine,1985
“who in his novel combines the poet’s and the painter’s creativeness with a deepened awareness of time in the depiction of the human condition”,1,['Claude Simon'],The Nobel Prize in Literature,1985
,1,['International Physicians for the Prevention of Nuclear War '],The Nobel Peace Prize,1985
“for his pioneering analyses of saving and of financial markets”,1,['Franco Modigliani'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1985
"“for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction”",2,"['Carlo Rubbia', 'Simon van der Meer']",The Nobel Prize in Physics,1984
“for his development of methodology for chemical synthesis on a solid matrix”,1,['Robert Bruce Merrifield'],The Nobel Prize in Chemistry,1984
“for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies”,3,"['Niels K. Jerne', 'Georges J.F. Köhler', 'César Milstein']",The Nobel Prize in Physiology or Medicine,1984
"“for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man”",1,['Jaroslav Seifert'],The Nobel Prize in Literature,1984
,1,['Desmond Mpilo Tutu'],The Nobel Peace Prize,1984
“for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis”,1,['Richard Stone'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1984
“for his theoretical studies of the physical processes of importance to the structure and evolution of the stars”,2,"['Subramanyan Chandrasekhar', 'William Alfred Fowler']",The Nobel Prize in Physics,1983
"“for his work on the mechanisms of electron transfer reactions, especially in metal complexes”",1,['Henry Taube'],The Nobel Prize in Chemistry,1983
“for her discovery of mobile genetic elements”,1,['Barbara McClintock'],The Nobel Prize in Physiology or Medicine,1983
"“for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today”",1,['William Golding'],The Nobel Prize in Literature,1983
,1,['Lech Walesa'],The Nobel Peace Prize,1983
“for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium”,1,['Gerard Debreu'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1983
“for his theory for critical phenomena in connection with phase transitions”,1,['Kenneth G. Wilson'],The Nobel Prize in Physics,1982
“for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes”,1,['Aaron Klug'],The Nobel Prize in Chemistry,1982
“for their discoveries concerning prostaglandins and related biologically active substances”,3,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",The Nobel Prize in Physiology or Medicine,1982
"“for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent’s life and conflicts”",1,['Gabriel García Márquez'],The Nobel Prize in Literature,1982
,2,"['Alva Myrdal', 'Alfonso García Robles']",The Nobel Peace Prize,1982
"“for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation”",1,['George J. Stigler'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1982
“for their contribution to the development of laser spectroscopy”,3,"['Nicolaas Bloembergen', 'Arthur Leonard Schawlow', 'Kai M. Siegbahn']",The Nobel Prize in Physics,1981
"“for their theories, developed independently, concerning the course of chemical reactions”",2,"['Kenichi Fukui', 'Roald Hoffmann']",The Nobel Prize in Chemistry,1981
“for his discoveries concerning the functional specialization of the cerebral hemispheres”,3,"['Roger W. Sperry', 'David H. Hubel', 'Torsten N. Wiesel']",The Nobel Prize in Physiology or Medicine,1981
"“for writings marked by a broad outlook, a wealth of ideas and artistic power”",1,['Elias Canetti'],The Nobel Prize in Literature,1981
,1,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],The Nobel Peace Prize,1981
"“for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices”",1,['James Tobin'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1981
“for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons”,2,"['James Watson Cronin', 'Val Logsdon Fitch']",The Nobel Prize in Physics,1980
"“for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA”",3,"['Paul Berg', 'Walter Gilbert', 'Frederick Sanger']",The Nobel Prize in Chemistry,1980
“for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions”,3,"['Baruj Benacerraf', 'Jean Dausset', 'George D. Snell']",The Nobel Prize in Physiology or Medicine,1980
“who with uncompromising clear-sightedness voices man’s exposed condition in a world of severe conflicts”,1,['Czeslaw Milosz'],The Nobel Prize in Literature,1980
,1,['Adolfo Pérez Esquivel'],The Nobel Peace Prize,1980
“for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies”,1,['Lawrence R. Klein'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1980
"“for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current”",3,"['Sheldon Lee Glashow', 'Abdus Salam', 'Steven Weinberg']",The Nobel Prize in Physics,1979
"“for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis”",2,"['Herbert C. Brown', 'Georg Wittig']",The Nobel Prize in Chemistry,1979
“for the development of computer assisted tomography”,2,"['Allan M. Cormack', 'Godfrey N. Hounsfield']",The Nobel Prize in Physiology or Medicine,1979
"“for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man’s struggle for freedom and creativeness”",1,['Odysseus Elytis'],The Nobel Prize in Literature,1979
,1,['Mother Teresa '],The Nobel Peace Prize,1979
“for their pioneering research into economic development research with particular consideration of the problems of developing countries”,2,"['Theodore W. Schultz', 'Sir Arthur Lewis']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1979
“for his basic inventions and discoveries in the area of low-temperature physics”,3,"['Pyotr Leonidovich Kapitsa', 'Arno Allan Penzias', 'Robert Woodrow Wilson']",The Nobel Prize in Physics,1978
“for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory”,1,['Peter D. Mitchell'],The Nobel Prize in Chemistry,1978
“for the discovery of restriction enzymes and their application to problems of molecular genetics”,3,"['Werner Arber', 'Daniel Nathans', 'Hamilton O. Smith']",The Nobel Prize in Physiology or Medicine,1978
"“for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life”",1,['Isaac Bashevis Singer'],The Nobel Prize in Literature,1978
,2,"['Mohamed Anwar al-Sadat', 'Menachem Begin']",The Nobel Peace Prize,1978
“for his pioneering research into the decision-making process within economic organizations”,1,['Herbert A. Simon'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1978
“for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems”,3,"['Philip Warren Anderson', 'Sir Nevill Francis Mott', 'John Hasbrouck van Vleck']",The Nobel Prize in Physics,1977
"“for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures”",1,['Ilya Prigogine'],The Nobel Prize in Chemistry,1977
“for their discoveries concerning the peptide hormone production of the brain”,3,"['Roger Guillemin', 'Andrew V. Schally', 'Rosalyn Yalow']",The Nobel Prize in Physiology or Medicine,1977
"“for a creative poetic writing which illuminates man’s condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars”",1,['Vicente Aleixandre'],The Nobel Prize in Literature,1977
,1,['Amnesty International '],The Nobel Peace Prize,1977
“for their pathbreaking contribution to the theory of international trade and international capital movements”,2,"['Bertil Ohlin', 'James E. Meade']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1977
“for their pioneering work in the discovery of a heavy elementary particle of a new kind”,2,"['Burton Richter', 'Samuel Chao Chung Ting']",The Nobel Prize in Physics,1976
“for his studies on the structure of boranes illuminating problems of chemical bonding”,1,['William N. Lipscomb'],The Nobel Prize in Chemistry,1976
“for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases”,2,"['Baruch S. Blumberg', 'D. Carleton Gajdusek']",The Nobel Prize in Physiology or Medicine,1976
“for the human understanding and subtle analysis of contemporary culture that are combined in his work”,1,['Saul Bellow'],The Nobel Prize in Literature,1976
,2,"['Betty Williams', 'Mairead Corrigan']",The Nobel Peace Prize,1976
"“for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy”",1,['Milton Friedman'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1976
“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”,3,"['Aage Niels Bohr', 'Ben Roy Mottelson', 'Leo James Rainwater']",The Nobel Prize in Physics,1975
“for his work on the stereochemistry of enzyme-catalyzed reactions”,2,"['John Warcup Cornforth', 'Vladimir Prelog']",The Nobel Prize in Chemistry,1975
“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”,3,"['David Baltimore', 'Renato Dulbecco', 'Howard Martin Temin']",The Nobel Prize in Physiology or Medicine,1975
"“for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions”",1,['Eugenio Montale'],The Nobel Prize in Literature,1975
,1,['Andrei Dmitrievich Sakharov'],The Nobel Peace Prize,1975
“for their contributions to the theory of optimum allocation of resources”,2,"['Leonid Vitaliyevich Kantorovich', 'Tjalling C. Koopmans']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1975
"“for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars”",2,"['Sir Martin Ryle', 'Antony Hewish']",The Nobel Prize in Physics,1974
"“for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules”",1,['Paul J. Flory'],The Nobel Prize in Chemistry,1974
“for their discoveries concerning the structural and functional organization of the cell”,3,"['Albert Claude', 'Christian de Duve', 'George E. Palade']",The Nobel Prize in Physiology or Medicine,1974
"“for a narrative art, far-seeing in lands and ages, in the service of freedom”",2,"['Eyvind Johnson', 'Harry Martinson']",The Nobel Prize in Literature,1974
,2,"['Seán MacBride', 'Eisaku Sato']",The Nobel Peace Prize,1974
"“for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena”",2,"['Gunnar Myrdal', 'Friedrich August von Hayek']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1974
"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”",3,"['Leo Esaki', 'Ivar Giaever', 'Brian David Josephson']",The Nobel Prize in Physics,1973
"“for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds”",2,"['Ernst Otto Fischer', 'Geoffrey Wilkinson']",The Nobel Prize in Chemistry,1973
“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”,3,"['Karl von Frisch', 'Konrad Lorenz', 'Nikolaas Tinbergen']",The Nobel Prize in Physiology or Medicine,1973
“for an epic and psychological narrative art which has introduced a new continent into literature”,1,['Patrick White'],The Nobel Prize in Literature,1973
,2,"['Henry A. Kissinger', 'Le Duc Tho ']",The Nobel Peace Prize,1973
“for the development of the input-output method and for its application to important economic problems”,1,['Wassily Leontief'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1973
"“for their jointly developed theory of superconductivity, usually called the BCS-theory”",3,"['John Bardeen', 'Leon Neil Cooper', 'John Robert Schrieffer']",The Nobel Prize in Physics,1972
"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”",3,"['Christian B. Anfinsen', 'Stanford Moore', 'William H. Stein']",The Nobel Prize in Chemistry,1972
“for their discoveries concerning the chemical structure of antibodies”,2,"['Gerald M. Edelman', 'Rodney R. Porter']",The Nobel Prize in Physiology or Medicine,1972
“for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature”,1,['Heinrich Böll'],The Nobel Prize in Literature,1972
No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.,0,[],The Nobel Peace Prize,1972
“for their pioneering contributions to general economic equilibrium theory and welfare theory”,2,"['John R. Hicks', 'Kenneth J. Arrow']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1972
“for his invention and development of the holographic method”,1,['Dennis Gabor'],The Nobel Prize in Physics,1971
"“for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals”",1,['Gerhard Herzberg'],The Nobel Prize in Chemistry,1971
“for his discoveries concerning the mechanisms of the action of hormones”,1,"['Earl W. Sutherland, Jr.']",The Nobel Prize in Physiology or Medicine,1971
“for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams”,1,['Pablo Neruda'],The Nobel Prize in Literature,1971
,1,['Willy Brandt'],The Nobel Peace Prize,1971
“for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development”,1,['Simon Kuznets'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1971
“for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics”,2,"['Hannes Olof Gösta Alfvén', 'Louis Eugène Félix Néel']",The Nobel Prize in Physics,1970
“for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates”,1,['Luis F. Leloir'],The Nobel Prize in Chemistry,1970
"“for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation”",3,"['Sir Bernard Katz', 'Ulf von Euler', 'Julius Axelrod']",The Nobel Prize in Physiology or Medicine,1970
“for the ethical force with which he has pursued the indispensable traditions of Russian literature”,1,['Aleksandr Isayevich Solzhenitsyn'],The Nobel Prize in Literature,1970
,1,['Norman E. Borlaug'],The Nobel Peace Prize,1970
“for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science”,1,['Paul A. Samuelson'],The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1970
“for his contributions and discoveries concerning the classification of elementary particles and their interactions”,1,['Murray Gell-Mann'],The Nobel Prize in Physics,1969
“for their contributions to the development of the concept of conformation and its application in chemistry”,2,"['Derek H. R. Barton', 'Odd Hassel']",The Nobel Prize in Chemistry,1969
“for their discoveries concerning the replication mechanism and the genetic structure of viruses”,3,"['Max Delbrück', 'Alfred D. Hershey', 'Salvador E. Luria']",The Nobel Prize in Physiology or Medicine,1969
"“for his writing, which – in new forms for the novel and drama – in the destitution of modern man acquires its elevation”",1,['Samuel Beckett'],The Nobel Prize in Literature,1969
,1,['International Labour Organization (I.L.O.) '],The Nobel Peace Prize,1969
“for having developed and applied dynamic models for the analysis of economic processes”,2,"['Ragnar Frisch', 'Jan Tinbergen']",The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1969
"“for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis”",1,['Luis Walter Alvarez'],The Nobel Prize in Physics,1968
"“for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes”",1,['Lars Onsager'],The Nobel Prize in Chemistry,1968
“for their interpretation of the genetic code and its function in protein synthesis”,3,"['Robert W. Holley', 'Har Gobind Khorana', 'Marshall W. Nirenberg']",The Nobel Prize in Physiology or Medicine,1968
"“for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind”",1,['Yasunari Kawabata'],The Nobel Prize in Literature,1968
,1,['René Cassin'],The Nobel Peace Prize,1968
"“for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars”",1,['Hans Albrecht Bethe'],The Nobel Prize in Physics,1967
"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”",3,"['Manfred Eigen', 'Ronald George Wreyford Norrish', 'George Porter']",The Nobel Prize in Chemistry,1967
“for their discoveries concerning the primary physiological and chemical visual processes in the eye”,3,"['Ragnar Granit', 'Haldan Keffer Hartline', 'George Wald']",The Nobel Prize in Physiology or Medicine,1967
"“for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America”",1,['Miguel Angel Asturias'],The Nobel Prize in Literature,1967
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1967
“for the discovery and development of optical methods for studying Hertzian resonances in atoms”,1,['Alfred Kastler'],The Nobel Prize in Physics,1966
“for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method”,1,['Robert S. Mulliken'],The Nobel Prize in Chemistry,1966
“for his discovery of tumour-inducing viruses”,2,"['Peyton Rous', 'Charles Brenton Huggins']",The Nobel Prize in Physiology or Medicine,1966
“for his profoundly characteristic narrative art with motifs from the life of the Jewish people”,2,"['Shmuel Yosef Agnon', 'Nelly Sachs']",The Nobel Prize in Literature,1966
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1966
"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”",3,"['Sin-Itiro Tomonaga', 'Julian Schwinger', 'Richard P. Feynman']",The Nobel Prize in Physics,1965
“for his outstanding achievements in the art of organic synthesis”,1,['Robert Burns Woodward'],The Nobel Prize in Chemistry,1965
“for their discoveries concerning genetic control of enzyme and virus synthesis”,3,"['François Jacob', 'André Lwoff', 'Jacques Monod']",The Nobel Prize in Physiology or Medicine,1965
"“for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people”",1,['Mikhail Aleksandrovich Sholokhov'],The Nobel Prize in Literature,1965
,1,['United Nations Children’s Fund (UNICEF) '],The Nobel Peace Prize,1965
"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”",3,"['Charles Hard Townes', 'Nicolay Gennadiyevich Basov', 'Aleksandr Mikhailovich Prokhorov']",The Nobel Prize in Physics,1964
“for her determinations by X-ray techniques of the structures of important biochemical substances”,1,['Dorothy Crowfoot Hodgkin'],The Nobel Prize in Chemistry,1964
“for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism”,2,"['Konrad Bloch', 'Feodor Lynen']",The Nobel Prize in Physiology or Medicine,1964
"“for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age”",1,['Jean-Paul Sartre'],The Nobel Prize in Literature,1964
,1,['Martin Luther King Jr.'],The Nobel Peace Prize,1964
"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”",3,"['Eugene Paul Wigner', 'Maria Goeppert Mayer', 'J. Hans D. Jensen']",The Nobel Prize in Physics,1963
“for their discoveries in the field of the chemistry and technology of high polymers”,2,"['Karl Ziegler', 'Giulio Natta']",The Nobel Prize in Chemistry,1963
“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”,3,"['Sir John Carew Eccles', 'Alan Lloyd Hodgkin', 'Andrew Fielding Huxley']",The Nobel Prize in Physiology or Medicine,1963
"“for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture”",1,['Giorgos Seferis'],The Nobel Prize in Literature,1963
,2,"['Comité international de la Croix Rouge (International Committee of the Red Cross) ', 'Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies) ']",The Nobel Peace Prize,1963
"“for his pioneering theories for condensed matter, especially liquid helium”",1,['Lev Davidovich Landau'],The Nobel Prize in Physics,1962
“for their studies of the structures of globular proteins”,2,"['Max Ferdinand Perutz', 'John Cowdery Kendrew']",The Nobel Prize in Chemistry,1962
“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”,3,"['Francis Harry Compton Crick', 'James Dewey Watson', 'Maurice Hugh Frederick Wilkins']",The Nobel Prize in Physiology or Medicine,1962
"“for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception”",1,['John Steinbeck'],The Nobel Prize in Literature,1962
,1,['Linus Carl Pauling'],The Nobel Peace Prize,1962
“for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons”,2,"['Robert Hofstadter', 'Rudolf Ludwig Mössbauer']",The Nobel Prize in Physics,1961
“for his research on the carbon dioxide assimilation in plants”,1,['Melvin Calvin'],The Nobel Prize in Chemistry,1961
“for his discoveries of the physical mechanism of stimulation within the cochlea”,1,['Georg von Békésy'],The Nobel Prize in Physiology or Medicine,1961
“for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country”,1,['Ivo Andric'],The Nobel Prize in Literature,1961
,1,['Dag Hjalmar Agne Carl Hammarskjöld'],The Nobel Peace Prize,1961
“for the invention of the bubble chamber”,1,['Donald Arthur Glaser'],The Nobel Prize in Physics,1960
"“for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science”",1,['Willard Frank Libby'],The Nobel Prize in Chemistry,1960
“for discovery of acquired immunological tolerance”,2,"['Sir Frank Macfarlane Burnet', 'Peter Brian Medawar']",The Nobel Prize in Physiology or Medicine,1960
“for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time”,1,['Saint-John Perse'],The Nobel Prize in Literature,1960
,1,['Albert John Lutuli'],The Nobel Peace Prize,1960
“for their discovery of the antiproton”,2,"['Emilio Gino Segrè', 'Owen Chamberlain']",The Nobel Prize in Physics,1959
“for his discovery and development of the polarographic methods of analysis”,1,['Jaroslav Heyrovsky'],The Nobel Prize in Chemistry,1959
“for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid”,2,"['Severo Ochoa', 'Arthur Kornberg']",The Nobel Prize in Physiology or Medicine,1959
"“for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times”",1,['Salvatore Quasimodo'],The Nobel Prize in Literature,1959
,1,['Philip J. Noel-Baker'],The Nobel Peace Prize,1959
“for the discovery and the interpretation of the Cherenkov effect”,3,"['Pavel Alekseyevich Cherenkov', 'Il´ja Mikhailovich Frank', 'Igor Yevgenyevich Tamm']",The Nobel Prize in Physics,1958
"“for his work on the structure of proteins, especially that of insulin”",1,['Frederick Sanger'],The Nobel Prize in Chemistry,1958
“for their discovery that genes act by regulating definite chemical events”,3,"['George Wells Beadle', 'Edward Lawrie Tatum', 'Joshua Lederberg']",The Nobel Prize in Physiology or Medicine,1958
“for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition”,1,['Boris Leonidovich Pasternak'],The Nobel Prize in Literature,1958
,1,['Georges Pire'],The Nobel Peace Prize,1958
“for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles”,2,"['Chen Ning Yang', 'Tsung-Dao (T.D.) Lee']",The Nobel Prize in Physics,1957
“for his work on nucleotides and nucleotide co-enzymes”,1,['Lord (Alexander R.) Todd'],The Nobel Prize in Chemistry,1957
"“for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles”",1,['Daniel Bovet'],The Nobel Prize in Physiology or Medicine,1957
"“for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times”",1,['Albert Camus'],The Nobel Prize in Literature,1957
,1,['Lester Bowles Pearson'],The Nobel Peace Prize,1957
“for their researches on semiconductors and their discovery of the transistor effect”,3,"['William Bradford Shockley', 'John Bardeen', 'Walter Houser Brattain']",The Nobel Prize in Physics,1956
“for their researches into the mechanism of chemical reactions”,2,"['Sir Cyril Norman Hinshelwood', 'Nikolay Nikolaevich Semenov']",The Nobel Prize in Chemistry,1956
“for their discoveries concerning heart catheterization and pathological changes in the circulatory system”,3,"['André Frédéric Cournand', 'Werner Forssmann', 'Dickinson W. Richards']",The Nobel Prize in Physiology or Medicine,1956
"“for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity”",1,['Juan Ramón Jiménez'],The Nobel Prize in Literature,1956
No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1956
“for his discoveries concerning the fine structure of the hydrogen spectrum”,2,"['Willis Eugene Lamb', 'Polykarp Kusch']",The Nobel Prize in Physics,1955
"“for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone”",1,['Vincent du Vigneaud'],The Nobel Prize in Chemistry,1955
“for his discoveries concerning the nature and mode of action of oxidation enzymes”,1,['Axel Hugo Theodor Theorell'],The Nobel Prize in Physiology or Medicine,1955
“for his vivid epic power which has renewed the great narrative art of Iceland”,1,['Halldór Kiljan Laxness'],The Nobel Prize in Literature,1955
No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,0,[],The Nobel Peace Prize,1955
"“for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction”",2,"['Max Born', 'Walther Bothe']",The Nobel Prize in Physics,1954
“for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances”,1,['Linus Carl Pauling'],The Nobel Prize in Chemistry,1954
“for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue”,3,"['John Franklin Enders', 'Thomas Huckle Weller', 'Frederick Chapman Robbins']",The Nobel Prize in Physiology or Medicine,1954
"“for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style”",1,['Ernest Miller Hemingway'],The Nobel Prize in Literature,1954
,1,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],The Nobel Peace Prize,1954
"“for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope”",1,['Frits Zernike'],The Nobel Prize in Physics,1953
“for his discoveries in the field of macromolecular chemistry”,1,['Hermann Staudinger'],The Nobel Prize in Chemistry,1953
“for his discovery of the citric acid cycle”,2,"['Hans Adolf Krebs', 'Fritz Albert Lipmann']",The Nobel Prize in Physiology or Medicine,1953
“for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values”,1,['Sir Winston Leonard Spencer Churchill'],The Nobel Prize in Literature,1953
